Name,Latitude,Longitude,Bikes Available,Slots,Empty Slots,Banking,Ebikes
Benjamin Godard - Victor Hugo,48.865983,2.275725,7,35,27,False,5
André Mazet - Saint-André des Arts,48.853756,2.339096,8,55,47,True,0
Faubourg Du Temple - Republique,48.867872,2.364898,7,38,30,True,4
Beaux-Arts - Bonaparte,48.856452,2.334852,5,20,14,True,0
Toudouze - Clauzel,48.879296,2.33736,0,21,21,True,0
Charonne - Robert et Sonia Delaunay,48.855908,2.392571,4,20,16,False,1
Mairie du 12ème,48.840855,2.387555,22,30,8,False,7
Square Boucicaut,48.851296,2.325062,28,60,31,True,9
Harpe - Saint-Germain,48.851519,2.34367,6,45,38,True,1
Jouffroy d'Abbans - Wagram,48.881973,2.301132,8,40,30,True,5
Guersant - Gouvion-Saint-Cyr,48.882878,2.287667,8,36,27,True,5
Alibert - Jemmapes,48.871044,2.366104,10,60,48,True,3
Caumartin - Provence,48.874423,2.328469,3,22,17,True,3
Cassini - Denfert-Rochereau,48.837526,2.336035,3,25,22,True,1
Saint-Sulpice,48.851654,2.330808,1,21,20,True,1
Raspail - Varenne,48.853148,2.326391,13,18,5,False,3
Lacépède - Monge,48.843893,2.351966,2,23,21,True,1
Saint-Romain - Cherche-Midi,48.847082,2.321375,7,17,6,False,4
André Karman - République,48.910399,2.385136,5,31,24,False,2
Pierre et Marie Curie - Maurice Thorez,48.815802,2.376805,22,27,4,False,5
Bois de Vincennes - Gare,48.836022,2.470834,16,50,33,True,4
Silly - Galliéni,48.835584,2.23255,12,25,12,True,3
Le Brun - Gobelins,48.835093,2.353468,19,48,29,True,7
Gare du Nord - Place de Valenciennes,48.879089,2.354235,2,25,22,True,1
Grande Armée - Brunel,48.876116,2.288124,5,62,57,True,4
Génie - Mozart,48.794902,2.373418,7,19,12,False,5
Thouin - Cardinal Lemoine,48.845047,2.349465,5,17,12,False,1
Froment - Bréguet,48.857041,2.372895,39,43,2,True,12
Notre-Dame-des-Champs - Stanislas,48.844799,2.329338,2,19,17,True,1
Morillons - Dantzig,48.833101,2.29938,7,52,45,False,4
Grenelle - Dr Finlay,48.851315,2.29195,20,71,51,True,7
Chazelles - Courcelles ,48.879407,2.303446,4,35,29,True,1
Croulebarde - Corvisart,48.830982,2.348165,7,34,26,True,3
Ramponeau - Belleville,48.871031,2.379057,4,44,38,True,1
Le Brix et Mesmin - Jourdan,48.822341,2.327862,16,21,5,False,16
Romainville - Vaillant-Couturier,48.86785,2.446748,17,38,20,False,15
Général Martial Valin - Pont du Garigliano,48.838231,2.270506,2,16,14,False,1
Liberté - Vert-de-Maisons,48.790148,2.432863,0,20,20,True,0
Porte de Saint-Ouen - Bessières,48.897922,2.328515,16,42,21,False,3
Bir Hakeim,48.853844,2.289705,21,33,11,True,12
Jules Guesde - Pont du Port à l'Anglais,48.796288,2.417212,20,30,9,True,1
Cambrai - Benjamin Constant,48.895947,2.381134,0,43,42,False,0
De Toqueville - Terrasse,48.882428,2.314002,0,30,30,True,0
Michel-Ange - Parent de Rosan,48.84058,2.258412,13,26,10,False,4
Lagny - Victor Basch,48.848841,2.426325,5,26,21,True,2
Serrurier,48.880493,2.398064,1,18,17,False,1
Théâtre des Amandiers - Palais des sports,48.892649,2.213694,9,23,13,False,1
Louis Lejeune - Barbès,48.818074,2.326701,8,25,17,False,3
Vaugirard - Monsieur le Prince,48.848951,2.341133,6,26,20,True,2
Rond-point du Dr Albert Schweitzer,48.789809,2.314394,2,22,20,False,2
Boétie - Ponthieu,48.871417,2.307679,3,33,29,True,1
Custine - Ramey,48.888736,2.346953,5,41,36,True,4
Pyrénées - Ménilmontant,48.869327,2.395085,1,26,24,False,1
Caire - Dussoubs,48.867853,2.349364,8,40,32,False,0
Tour d'Auvergne - Rodier,48.879161,2.343698,2,17,15,False,1
Assemblée Nationale,48.861411,2.320121,4,63,57,True,4
Dunkerque - Alsace,48.879355,2.358379,3,20,16,False,3
Liard - Amiral Mouchez,48.821417,2.342167,11,14,2,True,9
Gabriel Lamé,48.835121,2.385535,29,36,7,True,0
Las Cases - Bourgogne,48.859091,2.318569,5,22,17,False,1
Félix Ziem - Armand Gauthier,48.889496,2.333394,16,25,8,False,5
Jonquière - Docteur Paul Brousse,48.8948,2.318705,34,40,4,True,15
Square Louis XVI,48.873204,2.323659,20,29,8,True,2
Youri Gagarine - Karl Marx,48.784485,2.359084,10,22,12,False,4
Octave Feuillet - Albéric Magnard,48.861069,2.273028,9,21,11,False,7
Ney - Porte de Clignancourt,48.897887,2.3458,0,25,25,False,0
Gay Lussac - Saint-Jacques,48.84473,2.341924,1,24,23,False,1
Place Jean-Spire-Lemaître,48.846843,2.452062,12,50,38,True,0
Place Georges Guillaumin,48.87475,2.301771,3,29,25,False,0
Bellefond - Poissonnière,48.877599,2.348464,2,17,15,True,0
Jean Oestreicher - Porte de Champerret,48.886556,2.28864,12,21,9,False,8
Alexandre Parodi - Quai de Valmy,48.879359,2.366596,5,24,17,True,2
Ségur - d'Estrées,48.85142,2.309704,14,19,3,False,1
Granges aux Belles,48.876137,2.368084,1,27,26,False,0
Regnault - Patay,48.824358,2.377065,61,63,1,False,6
Gare Saint-Lazare - Place de Budapest,48.877753,2.327339,10,44,34,True,4
Edgar Quinet - Raspail,48.839403,2.329715,4,46,42,True,1
Clignancourt - Ordener,48.891458,2.348636,3,35,29,True,3
Dunkerque - Rocroy,48.880726,2.351464,3,24,21,False,2
Abbeville - Faubourg Poissonnière,48.879223,2.349147,3,14,10,True,0
Boulangers - Cardinal Lemoine,48.84629,2.35215,1,20,19,True,0
Boudreau - Auber,48.87219,2.329423,7,14,5,False,6
Gare de l'Est - Faubourg-Saint-Martin,48.875643,2.359459,5,32,26,True,3
Pereire - Ternes,48.87974,2.288012,4,48,44,True,2
Douai - Bruxelles,48.883208,2.330845,0,27,25,False,0
Champ de Mars - Cler,48.856692,2.306647,26,41,13,True,4
Quai de l'Horloge - Pont Neuf,48.857059,2.341798,9,17,8,True,0
Gare Saint-Lazare - Isly,48.874778,2.326516,10,27,16,True,3
