Name,Categories,Rating,Address,Res_Latitude,Res_Longitude,Reviews,Distance,Phone,Closed,Price,Latitude,Longitude
Le Poincaré,"French, Brasseries, Wine Bars",4.0,"22 avenue Raymond Poincaré, Paris",48.8650573,2.2865211,150,796.3837457247423,33145054610.0,False,€€,48.865983,2.275725
Corso,Italian,4.0,"79 avenue Kléber, Paris",48.864897,2.289009,39,979.1628237952632,33966889717.0,False,€€,48.865983,2.275725
Le Stella,"French, Brasseries",4.0,"133 avenue Victor Hugo, Paris",48.867555427657,2.28070483011613,78,404.04201706286574,33156905600.0,False,€€€,48.865983,2.275725
Le Wilson,"Cafes, Coffee & Tea",3.0,"2 Place Du Trocadero, Paris",48.8634231,2.2879945,65,941.5510759746765,33145537561.0,False,€€,48.865983,2.275725
Café du Trocadéro,French,3.0,"8 place Trocadéro et 11 Novembre, Paris",48.8635709711316,2.28669184811918,148,845.8530056774499,33144053700.0,False,€€€,48.865983,2.275725
Café Kléber,Brasseries,3.0,"4 Place Trocadéro Et 11 Novembre, Paris",48.8637,2.28721,90,882.0262383983547,33147278665.0,False,€€,48.865983,2.275725
Le Coq,French,3.0,"2 place du Trocadéro, Paris",48.8635824091453,2.28798579014358,103,935.7359525606691,33147278952.0,False,€€€,48.865983,2.275725
Le Victor Hugo,"Brasseries, French, Cafes",3.5,"4 place Victor Hugo, Paris",48.87012,2.28548,39,851.5648747331707,33145008755.0,False,€€,48.865983,2.275725
Le Malakoff,Brasseries,3.0,"6 place du Trocadéro et du 11 Novembre, Paris",48.863719,2.287135,64,871.7601894712426,33145537527.0,False,€€,48.865983,2.275725
La Rotonde de la Muette,Brasseries,3.5,"12 chaussée de la Muette, Paris",48.8584108475904,2.273045,11,864.5065640077798,33145244545.0,False,€€€,48.865983,2.275725
Le Bois,"French, Bistros",4.0,"29 rue Bois le Vent, Paris",48.8576,2.27402,9,947.8559191160938,33140720341.0,False,€€€,48.865983,2.275725
Le Pain Quotidien,"Breakfast & Brunch, Bakeries, Coffee & Tea",2.0,"150 avenue Victor Hugo, Paris",48.8669,2.27849,9,228.00626493422791,33147047911.0,False,€€€,48.865983,2.275725
La Place Longchamp,French,5.0,"84 rue de Longchamp, Paris",48.86549,2.28379,5,594.5302284158113,33145535000.0,False,€€€,48.865983,2.275725
McDonald's,"Fast Food, Burgers",3.0,"131 avenue Victor Hugo, Paris",48.86785,2.28137,16,474.0373594186801,33147274106.0,False,€,48.865983,2.275725
